Gmt time,Open,High,Low,Close,Volume
29.03.2019 00:00:00.000,1.30533,1.30691,1.30508,1.30590,3392.8999
29.03.2019 01:00:00.000,1.30591,1.30706,1.30549,1.30664,4310.6299
29.03.2019 02:00:00.000,1.30664,1.30726,1.30597,1.30707,2572.03
29.03.2019 03:00:00.000,1.30711,1.30711,1.30630,1.30638,2747.49
29.03.2019 04:00:00.000,1.30638,1.30708,1.30623,1.30705,2584.21
29.03.2019 05:00:00.000,1.30706,1.30759,1.30664,1.30710,3052.26
29.03.2019 06:00:00.000,1.30708,1.30829,1.30633,1.30754,4343.6099
29.03.2019 07:00:00.000,1.30752,1.30853,1.30252,1.30254,9551.8398
29.03.2019 08:00:00.000,1.30254,1.30465,1.30096,1.30231,16200.96
29.03.2019 09:00:00.000,1.30232,1.30356,1.30030,1.30210,14017.7305
29.03.2019 10:00:00.000,1.30210,1.30903,1.30159,1.30745,20963.6895
29.03.2019 11:00:00.000,1.30746,1.31353,1.30735,1.31049,22499.0703
29.03.2019 12:00:00.000,1.31050,1.31226,1.30886,1.30928,16744.6406
29.03.2019 13:00:00.000,1.30928,1.30983,1.30631,1.30800,15125.5996
29.03.2019 14:00:00.000,1.30800,1.30811,1.29776,1.29990,20763.9707
29.03.2019 15:00:00.000,1.29990,1.30471,1.29842,1.30285,21181.8301
29.03.2019 16:00:00.000,1.30285,1.30469,1.30040,1.30062,15455.9102
29.03.2019 17:00:00.000,1.30056,1.30109,1.29908,1.29927,9468.96
29.03.2019 18:00:00.000,1.29927,1.30101,1.29888,1.30034,10503.2598
29.03.2019 19:00:00.000,1.30030,1.30242,1.30018,1.30220,6440.4702
29.03.2019 20:00:00.000,1.30221,1.30359,1.30154,1.30294,6287.25
29.03.2019 21:00:00.000,1.30294,1.30294,1.30294,1.30294,0
29.03.2019 22:00:00.000,1.30294,1.30294,1.30294,1.30294,0
29.03.2019 23:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 00:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 01:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 02:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 03:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 04:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 05:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 06:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 07:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 08:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 09:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 10:00:00.000,1.30294,1.30294,1.30294,1.30294,0
30.03.2019 11:00:00.000,1.30294,1.30294,1.30294,1.30294,0
